,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
33,AAPL230414C00155000,2023-04-12 19:59:59+00:00,155.0,5.3,0.0,0.0,0.0,0.0,1014.0,0,1.0000000000000003e-05,True,REGULAR,USD
34,AAPL230414C00157500,2023-04-12 19:59:34+00:00,157.5,3.02,0.0,0.0,0.0,0.0,2010.0,0,1.0000000000000003e-05,True,REGULAR,USD
35,AAPL230414C00160000,2023-04-12 19:59:59+00:00,160.0,1.28,0.0,0.0,0.0,0.0,37132.0,0,1.0000000000000003e-05,True,REGULAR,USD
36,AAPL230414C00162500,2023-04-12 19:59:59+00:00,162.5,0.34,0.0,0.0,0.0,0.0,98441.0,0,0.062509375,False,REGULAR,USD
37,AAPL230414C00165000,2023-04-12 19:59:58+00:00,165.0,0.07,0.0,0.0,0.0,0.0,51111.0,0,0.12500875,False,REGULAR,USD
38,AAPL230414C00167500,2023-04-12 19:59:38+00:00,167.5,0.02,0.0,0.0,0.0,0.0,14757.0,0,0.12500875,False,REGULAR,USD
39,AAPL230414C00170000,2023-04-12 19:59:49+00:00,170.0,0.01,0.0,0.0,0.0,0.0,7570.0,0,0.2500075,False,REGULAR,USD
40,AAPL230414C00172500,2023-04-12 19:22:06+00:00,172.5,0.01,0.0,0.0,0.0,0.0,1122.0,0,0.2500075,False,REGULAR,USD
41,AAPL230414C00175000,2023-04-12 19:37:28+00:00,175.0,0.01,0.0,0.0,0.0,0.0,139.0,0,0.2500075,False,REGULAR,USD
42,AAPL230414C00177500,2023-04-12 19:49:57+00:00,177.5,0.01,0.0,0.0,0.0,0.0,68.0,0,0.2500075,False,REGULAR,USD
43,AAPL230414C00180000,2023-04-12 14:45:33+00:00,180.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
44,AAPL230414C00182500,2023-04-12 14:49:27+00:00,182.5,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
45,AAPL230414C00185000,2023-04-12 14:14:12+00:00,185.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
46,AAPL230414C00187500,2023-04-10 13:30:05+00:00,187.5,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
47,AAPL230414C00190000,2023-04-11 15:18:02+00:00,190.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
48,AAPL230414C00192500,2023-04-12 14:23:52+00:00,192.5,0.01,0.0,0.0,0.0,0.0,41.0,0,0.500005,False,REGULAR,USD
49,AAPL230414C00195000,2023-04-10 13:30:05+00:00,195.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
50,AAPL230414C00200000,2023-03-29 15:04:50+00:00,200.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
51,AAPL230414C00205000,2023-04-04 19:39:35+00:00,205.0,0.01,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
52,AAPL230414C00210000,2023-03-29 15:09:11+00:00,210.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
53,AAPL230414C00215000,2023-03-21 16:26:43+00:00,215.0,0.02,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
54,AAPL230414C00220000,2023-03-21 18:38:42+00:00,220.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
55,AAPL230414C00235000,2023-03-21 17:20:09+00:00,235.0,0.02,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
56,AAPL230414C00245000,2023-03-07 20:15:17+00:00,245.0,0.01,0.0,0.01,0.0,0.0,,1,1.8125009374999999,False,REGULAR,USD
57,AAPL230414C00250000,2023-04-12 17:08:56+00:00,250.0,0.01,0.0,0.0,0.0,0.0,108.0,0,0.500005,False,REGULAR,USD
